text,label,id
"Pior do que adolescentezinhas de merda ... são pessoas que levam filmes tão a sério ! O livro / filme é dela , ela faz o que quiser ! E por mais ruim que seja , ta rendendo milhões (:",2,hateSpeech
"Vergonha , ainda segura a bandeira de um país de verdade , não esse puteiro que tá tendo aqui . USER tá preocupado mais com a fama do que com o Brasil , nunca mais verá meu apoio",2,hateSpeech
"USER Que vagabunda hipócrita , pq eu beijei as duas então geral se traiu e ela n pode reclamar",2,hateSpeech
""" Heterofobismo ? "" Pelo que eu saiba héteros nunca foram perseguidos , mortos e torturados por centenas de anos pela sua orientação sexual . Em alguns países do Oriente , gays são presos e , as vezes , mortos só por causa de orientação sexual . Isso NUNCA aconteceu e nem vai acontecer com héteros . A implantação nas escolas da ideia de que existem casais diferentes é ótima ! O conhecimento é a arma contra a ignorância e tenho certeza que vai ajudar muitas crianças confusas por aí ! "" Heterofobismo ? "" Estude mais um pouco antes de abrir a boca e passar vergonha , por favor .",2,hateSpeech
USER Quem abraça ladrão é o que sua bosta ?,2,hateSpeech
"> americas lotado de caboclas gostosas partindo das pálidas até as mais escuras estilo pocahontas > das mais qt 's até as mais cavalas > floquinho de neve quer porque quer se enfiar em uma reserva cheia de índio armado caçando ele com hilux pra sujar a genética de um povo que descende apenas de 70 pessoas e tem separação do resto da humanidade de mais de 24k de anosé muita síndrome de floquinho de neve , puta merda .",2,hateSpeech
USER Ja ta pedindo p ser punida ? Sua putinha inutil do krl cala a boca e eu vou fazer oq quero,2,hateSpeech
"Sinceramente , no Brasil o crime compensa , o cara mata a própria filha , de forma cruel , e ainda ta ai livre , que bosta de justiça a nossa !",2,hateSpeech
"É importante que o homem trate bem as mulheres , mas não acredito que foi isso que conquistou a mulher da questão , pois ela foi parando o carro e chamando pra fazer sexo .",2,hateSpeech
"USER pode achar seu principe encantado , mas sempre vai acabar : Gorda , feia , virgem , cheia de poster de crepúsculo a parede ! !",2,hateSpeech
"Primeiramente mandaria se foder pq amigo nenhum diz que outras garotas são melhores . Depois é perguntar se ele realmente tem interesse , e se não tiver parar de agir como se tivesse",2,hateSpeech
"A podridão vindo a tona , USER está fazendo tudo que já de ruim nesse país se mostrar . Força USER , eles vão cair ! Traidores da nação .",2,hateSpeech
USER pais bizarro .,2,hateSpeech
"A mulher coitada esta carente , mais USER culpada , o vara estava na dele .",2,hateSpeech
USER A Folha desde sempre apoiando a DITADURA e apoiando FASCISTAS que até se esquece de falar sobre seus ESCÂNDALOS como EMPRESTAR CARROS para a DITADURA ir TORTURAR PESSOAS . A Folha GOLPISTA nunca faz uma “ autocrítica ” URL,2,hateSpeech
"USER USER Tche , ta com inveja da melhor regiao do país , pia azedo ? :rolando_no_chão_de_rir: :rolando_no_chão_de_rir: :rolando_no_chão_de_rir: Fala isso perto da gurizada pra ver o que acontece cntg , bostinha . O facao ja ta afiado , mlhr tu ti atipa daqui ! ¡",2,hateSpeech
E os machos q ficavam desmerecendo ela lá por ela ser negra e acima do peso vcs n ligam ?,2,hateSpeech
"Oque um idiota pode fazer em ... Por isso minha mãe sempre me disse : selecione bem suas amizades ... Só espero que o tal USER pague com a justiça pelo que ele incitou ... Espero que a USER e o USER da Justiça façam a parte deles com a fala do abençoado USER ! Exatamente oque o especialista disse ... O nazismo pregava o arianismo ... Acredito que o USER não tenha nem se quer tenha lido o que falou ... Ou realmente ele é um criminoso ( e ele realmente cometeu diversos crimes c a fala dele ) que não tá nem aí pra quem sofreu com o nazismo ! Existe algo chamado de ética ( conjuntos de normas e valores ) que fazem o mundo dar certo ... O que o USER não entendeu nos seus 30 e poucos anos de vida é que se ele tem fala ou tinha , é graças a essa ética que existe no mundo , graças a esse conjunto de normas e valores !",2,hateSpeech
USER tentando defender a Anitta só para conseguir uma entrevista ? ? ? Tudo que você já falou sobre “ especialistas ” vai por água abaixo depois os tweets que fez ... Que vergonha,2,hateSpeech
Se ele não tivesse respeito por uma mulher ele xingava ela agora na cara dela como muitos fazem ! Parabéns USER,2,hateSpeech
"vampiro que brilha no sol ? ? ? USER "" depilado "" a namorada do cara dormindo com outro e o USER falar q tá feliz com isso ? ? como o felipe USER mesmo fala : "" Que porra é essa ? ? "" USER é ridículo . a sthephany USER "" tentou "" distorcer a figura do vampiro e do USER pra algo + feminino . e isso resultou em uma história totalmente absurda . quando lançou o livro ( ou filme ) fui assistir pensando que veria um "" vampiro "" e "" USER "" de verdade ! ! decepcionei geral ao ver a distorção que ela fez .",2,hateSpeech
O povo burro é esse do Brasil ! ! ! Invés de ficar perdendo tempo discutindo quem tá certo ou errado tínhamos que focar na pandemia ! ! ! Esse povo da ESQUERDA E DIREITA não entende que esse não é momento pra ficar brigando e fazendo manifestações ! ! Depois pega a merda do vírus vai dar trabalho pra um pai ou mãe que não pode ir pra casa direito pois tem que ficar trabalhando dobrado em hospitais ! ! Vamos respeitar a quarentena ! ! parem de comer capim um pouco ! !,2,hateSpeech
"Q nojo dessa mulher kkk , educação 0",2,hateSpeech
"Essa juiza ganhou meu respeito em kkkk , parabéns juíza é isso aí tem q botar é rachando msm nesse bandido luladrao",2,hateSpeech
"USER USER USER USER USER Urr durr , xenofóbico fudido do caralho",2,hateSpeech
USER USER USER Lula ladrão desgraçado representa a corrupção no país,2,hateSpeech
