text,label,id
Fala bem pra caramba,0,neutral
"USER apaixonou kkkkk vc voltará morar em planaltina , sim povo de lá é acolhedor , kkkkkkkkkk",0,neutral
Ensinar sobre a diversidade e o respeito ao próximo é besteira ? ? ?,0,neutral
"RT USER : Hoje a companheira Natália Szermeta , militante do MTST , assumiu a presidência da Fundação Lauro Campos-Marielle Franco , es ...",0,neutral
"USER amg to indo assistir “ o assassino de clovehitch ” , eh de serial killer AMOO",0,neutral
"A Miley foi impecável vai se foder eu amo essa mulher , pronto e acabou",0,neutral
"Ele não é um cara , ele é um homem , USER . Homem lindo , gostoso e inteligente , USER .",0,neutral
"Muito necessário ! ! ! :mãos_aplaudindo: :pele_escura: :mãos_aplaudindo: :pele_escura: :mãos_aplaudindo: :pele_escura: Desde cedo as crianças escutam coisas sobre lgbtqi + , elas escutam coisas que ensinam a olhar com desrespeito , tá mais de que na hora de falar com naturalidade , para que não tenhamos mais adultos complexados fazendo merda a torto e a direita .",0,neutral
USER USER ... huaHAUHauhUHAUHu ... Ele comeu a folha ... hauHAUhuahUHAUHuahu vc tem talento pra CARALHO cara,0,neutral
caralho eu tô muito linda,0,neutral
O miserável é um gênio . USER de alto valor . Eu acredito na versão dele . Esse cara deveria escrever um livro .,0,neutral
brilhante mais uma USER USER !,0,neutral
n quero tretar,0,neutral
brocolis é muito boooom pqp,0,neutral
Hoje é dia de São Paulo caraio,0,neutral
É a USER de todo mundo odeia o Chris USER,0,neutral
USER Kkkk homem lindo viu pqp,0,neutral
USER USER é mt bom crepusculo é uma USER,0,neutral
180 mulheres são estupradas POR DIA no Brasil . Mais da metade são crianças de até 13 anos . E a punição ? Cadê ? HASHTAG HASHTAG,0,neutral
Que bosta em ...,0,neutral
Eita USER kk,0,neutral
"porra , toda vez que vou encaminhar algo por mensagem direta aqui no tt pra mais de uma pessoa esqueço que cria grupo",0,neutral
rt USER música antiga do meus vídeos e camiseta do over the garden wall asdaushdhusadh caralho URL,0,neutral
"Médico ligou e falou que a situação do meu avô piorou consideravelmente , que é só questão de tempo mesmo . Caralho que situação desgraçada , ver minha mãe do jeito que tá por causa do que tá acontecendo com meu avô é ruim demais , chega fico sem reação .",0,neutral
o vídeo da nova zelândia virou em países anglófonos algo do nível de vídeos de pornografia infantil . estão ameaçando dez anos de cadeia para quem compartilhar o vídeo e já prenderam um homem por :/ /,0,neutral
Perto dela ele fica calado,0,neutral
Quero ver quem vai peitar Jojo :rolando_no_chão_de_rir: :rolando_no_chão_de_rir: :rolando_no_chão_de_rir: esperando ver o corajoso ou a corajosa :rolando_no_chão_de_rir: :rolando_no_chão_de_rir: :rolando_no_chão_de_rir:,0,neutral
"Gustavo no mei do pião : Eu fique com alguém cz ? Eu : Oxi sla carai KAKAKAAKKAKAKAKAKKAKAKAKAAK "" será q tava ruim o garoto ? """,0,neutral
"Mesmo brava acho a Jojo tão fofinha :rosto_sorridente_com_3_corações: , dá vontade de abraçar ela e apertar :rosto_sorridente_com_olhos_de_coração: :rosto_sorridente_com_3_corações: :rosto_abraçando:",0,neutral
eu com o pé fodido consegui cair e foder agr o meu joelho tambem :rosto_sorridente_com_3_corações:,0,neutral
"USER esse presidente , como todos que passam por aí .",0,neutral
"' dú nada vim para aki em maricá , na cs da mamis ! :rosto_sorridente_com_3_corações: :rosto_sorridente_com_3_corações: :rosto_sorridente_com_3_corações:",0,neutral
o aniversário mais fodido que já tive check,0,neutral
O tanto que eu chorei com o emicida tocando hoje cedo e levanta e anda . Pqp ...,0,neutral
FOI TUDO EM NIME DE USER ! USER NO COMANDO ! USER QUE USER USER USER,0,neutral
todo dia escuto um comentário diferente sobre algo em mim e faz eu me sentir um lixo,0,neutral
Eu ouvi daquela boca doce Esse corpo maravilhoso USER não somos nada sem vcs O cara é USER kkkkkkkkkkkk,0,neutral
A vida é boa pra carai,0,neutral
"acordei e vim pro banheiro na calada mesmo e só to ouvindo meus pais falando de como eu durmo muito e não faço nada , só na vontade de grita porra eu to de férias se vc achou que eu ia acordar cedo que pena",0,neutral
""" bela USER e a aminha USER USER "" VC USER USER VUDA USER USER USER USER ! ! !",0,neutral
Pra vcs e fácil fala que corpo assim e feio e blá blá mas não e nada fácil emagrecer eu com 65 kilos tento emagrecer e ta sendo difícil sejam realistas e si coloquem no lugar do outro pelo amor de Deussssss,0,neutral
A volta do trabalho presencial é desumana ! ! ! Levei uma 1 hora e 45 minutos da ana rosa pra casa e tudo que eu fiz no escritório podia bem ter feito do meu lar doce lar tô num odiooooo,0,neutral
isso que é um comercial ! ! ! qual a sua desculpa agora para ser homofóbico ?,0,neutral
TO VENDO EM DELAY Q ODIOOOO,0,neutral
Esse cara é USER ! Hahhahahaahha,0,neutral
Deixa os filhos do cara em paz com essa lacração,0,neutral
"Já fui hater de reality show tb . Acho q é uma fase q mt gente passa . De vez em quando dá raiva certas coisas . Mas a real é q BBB pode ser legal pra cacete , assim como Fazenda , De Férias com Ex , Casamento às Cegas e até a pornochanchada de Verdades Secretas . Tem espaço pra tudo",0,neutral
"Erro gigantesco o monark sair , errou e errou feio , tem que pagar mas destruir tudo oque construiu não faz sentido , o USER morre hoje !",0,neutral
"vou me encher de remédio e fodase , n tenho nada a perder",0,neutral
eu nao peguei o monitor caralho,0,neutral
Tédio do carai,0,neutral
USER :rosto_chorando_de_rir: . Vergonha que fala .,0,neutral
USER USER KKKKKKKKKKKK falei carai,0,neutral
Kkkkkk imagina o odio do marido kkkkkkkkk,0,neutral
No próximo filmee e USER USER o USER USER,0,neutral
USER de cueca kkkkkkkkkk morri,0,neutral
e o USER do brasil gosta dessa falta de educação kkk,0,neutral
USER Acho que ele foi o estuprado ...,0,neutral
"Fiquei fã desse cara . USER esclarecido . Não confundam morador de rua com um analfabeto . Ele não tem emprego e nem onde morar . Mas tem conhecimento e valores , e se deu bem pra caramba na cópula com aquela gata ! Nunca mais será morador de rua , a vez dele chegou !",0,neutral
Pra mim não existe xingamento pior que esses ! Pior nível existente,0,neutral
USER USER é USER USER,0,neutral
"Mas tem casal hétero sexual que nem a família respeita , e bota os filhos pra adoção pra um casal homossexual adotar",0,neutral
USER :rosto_sonolento:,0,neutral
"RT USER : Ter dó de traficantes e estupradores se matando dentro da cadeia ? Gente honesta tem dó das vítimas , isso sim .",0,neutral
USER engra莽ado depois da casa arrombada se coloca um cadeado . ? ?,0,neutral
Maldito Año Nuevo y lo que me trajo,0,neutral
"Meu deus ! Que hipocrisia mata a filha e ainda sai pra comemorar dias dos "" pais "" E ainda tem direitos ? ? ? Que pais e esse ? ? ? e um absurdo",0,neutral
"USER novamente pisando na bola , a inconsequência dele bota todo mundo na reta . É USER .",0,neutral
Como de costume : USER USER,0,neutral
Pior coisa é voc srntir vontadr de defecar no trabalho,0,neutral
USER USER USER USER USER DE SANGUE,0,neutral
USER named my dog after Dante Alighieri because i was reading alot about dante 's inferno and i realized you could find foden in the 8th circle . URL,0,neutral
"Esse paradoxo da liberdade de expressão é uma coisas que sempre me deixou sem sabe como defender , pq eu sempre pensei que se eu defendo a liberdade de expressão tenho que permitir todas as expressividade ... Mas esse professor me fez perceber que até a liberdade de expressão tem limites , pois se liberar a expressividade de alguém que é contra a expressividade , a liberdade de expressão não fará mais sentido . Um aprendizado muito foda , que me fez sair desse paradoxo de pensamento . Espero que o USER tenha entendido isso e todos que pensavam igual tenham percebido esse ensinamentos como eu percebi tbm . Fiquem todos bem",0,neutral
